DEPTH(ft),AZM(deg),BIT(in),DIFP(psi),EW(ft),Gamma(gapi),INC(deg),NS(ft),ROP(ft / min),RPM(rpm),SPP(psi),TPO(gal / min),TVD(ft),WOB(klbs),MSE1(ksi)
0,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,
1,,17.5,2.46,,,,,0,0.1,2.47,188,,-14,0
1.5,,17.5,0,,,,,0,0.1,0,10,,-13.9,0
2,,17.5,230.64,,,,,0,0.1,234.13,253,,-20.3,0
2.5,,17.5,217.21,,,,,0,0.1,216.7,253,,-20,0
3,,17.5,215.09,,,,,0,0.1,214.94,253,,-20.5,0
3.5,,17.5,218.83,,,,,0,0.1,218.09,253,,-19.6,0
4,,17.5,214.72,,,,,0,0.1,215.13,253,,-20.4,0
4.5,,17.5,212.78,,,,,0,0.1,211.82,253,,-20.1,0
5,,17.5,218.68,,,,,0,0.1,219.3,253,,-20.7,0
5.5,,17.5,227.52,,,,,0,0.1,228.74,253,,-20,0
6,,17.5,210.07,,,,,0,0.1,211.17,253,,-20.3,0
6.5,,17.5,215.61,,,,,0,0.1,215.69,253,,-20.4,0
7,,17.5,208.84,,,,,0,0.1,204.69,253,,-19.9,0
7.5,,17.5,213.81,,,,,0,0.1,213.8,253,,-19.6,0
8,,17.5,213.6280878,,,,,0,0.328526646,213.6188715,252.9247649,,-19.56489028,0
8.5,,17.5,213.4461755,,,,,0,0.557053292,213.4377429,252.8495298,,-19.52978056,0
9,,17.5,213.2642633,,,,,0,0.785579937,213.2566144,252.7742947,,-19.49467085,0
9.5,,17.5,213.0823511,,,,,0,1.014106583,213.0754859,252.6990596,,-19.45956113,0
10,,17.5,212.9004389,,,,,0,1.242633229,212.8943574,252.6238245,,-19.42445141,0
10.5,,17.5,212.7185266,,,,,0,1.471159875,212.7132288,252.5485893,,-19.38934169,0
11,,17.5,212.5366144,,,,,0,1.69968652,212.5321003,252.4733542,,-19.35423197,0
11.5,,17.5,212.3547022,,,,,0,1.928213166,212.3509718,252.3981191,,-19.31912226,0
12,,17.5,212.17279,,,,,0,2.156739812,212.1698433,252.322884,,-19.28401254,0
12.5,,17.5,211.9908777,,,,,0,2.385266458,211.9887147,252.2476489,,-19.24890282,0
13,,17.5,211.8089655,,,,,0,2.613793103,211.8075862,252.1724138,,-19.2137931,0
13.5,,17.5,211.6270533,,,,,0,2.842319749,211.6264577,252.0971787,,-19.17868339,0
14,,17.5,211.4451411,,,,,0,3.070846395,211.4453292,252.0219436,,-19.14357367,0
14.5,,17.5,211.2632288,,,,,0,3.299373041,211.2642006,251.9467085,,-19.10846395,0
15,,17.5,211.0813166,,,,,0,3.527899687,211.0830721,251.8714734,,-19.07335423,0
15.5,,17.5,210.8994044,,,,,0,3.756426332,210.9019436,251.7962382,,-19.03824451,0
16,,17.5,210.7174922,,,,,0,3.984952978,210.720815,251.7210031,,-19.0031348,0
16.5,,17.5,210.5355799,,,,,0,4.213479624,210.5396865,251.645768,,-18.96802508,0
17,,17.5,210.3536677,,,,,0,4.44200627,210.358558,251.5705329,,-18.93291536,0
17.5,,17.5,210.1717555,,,,,0,4.670532915,210.1774295,251.4952978,,-18.89780564,0
18,,17.5,209.9898433,,,,,0,4.899059561,209.9963009,251.4200627,,-18.86269592,0
18.5,,17.5,209.807931,,,,,0,5.127586207,209.8151724,251.3448276,,-18.82758621,0
19,,17.5,209.6260188,,,,,0,5.356112853,209.6340439,251.2695925,,-18.79247649,0
19.5,,17.5,209.4441066,,,,,0,5.584639498,209.4529154,251.1943574,,-18.75736677,0
20,,17.5,209.2621944,,,,,0,5.813166144,209.2717868,251.1191223,,-18.72225705,0
20.5,,17.5,209.0802821,,,,,0,6.04169279,209.0906583,251.0438871,,-18.68714734,0
21,,17.5,208.8983699,,,,,0,6.270219436,208.9095298,250.968652,,-18.65203762,0
21.5,,17.5,208.7164577,,,,,0,6.498746082,208.7284013,250.8934169,,-18.6169279,0
22,,17.5,208.5345455,,,,,0,6.727272727,208.5472727,250.8181818,,-18.58181818,0
22.5,,17.5,208.3526332,,,,,0,6.955799373,208.3661442,250.7429467,,-18.54670846,0
23,,17.5,208.170721,,,,,0,7.184326019,208.1850157,250.6677116,,-18.51159875,0
23.5,,17.5,207.9888088,,,,,0,7.412852665,208.0038871,250.5924765,,-18.47648903,0
24,,17.5,207.8068966,,,,,0,7.64137931,207.8227586,250.5172414,,-18.44137931,0
24.5,,17.5,207.6249843,,,,,0,7.869905956,207.6416301,250.4420063,,-18.40626959,0
25,,17.5,207.4430721,,,,,0,8.098432602,207.4605016,250.3667712,,-18.37115987,0
25.5,,17.5,207.2611599,,,,,0,8.326959248,207.279373,250.2915361,,-18.33605016,0
26,,17.5,207.0792476,,,,,0,8.555485893,207.0982445,250.2163009,,-18.30094044,0
26.5,,17.5,206.8973354,,,,,0,8.784012539,206.917116,250.1410658,,-18.26583072,0
27,,17.5,206.7154232,,,,,0,9.012539185,206.7359875,250.0658307,,-18.230721,0
27.5,,17.5,206.533511,,,,,0,9.241065831,206.5548589,249.9905956,,-18.19561129,0
28,,17.5,206.3515987,,,,,0,9.469592476,206.3737304,249.9153605,,-18.16050157,0
28.5,,17.5,206.1696865,,,,,0,9.698119122,206.1926019,249.8401254,,-18.12539185,0
