DEPTH(ft),AZM(deg),BIT(in),DIFP(psi),EW(ft),Gamma(gapi),INC(deg),NS(ft),ROP(ft / min),RPM(rpm),SPP(psi),TPO(gal / min),TVD(ft),WOB(klbs),MSE1(ksi)
0,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,
1,,,0.18,,,,,0,0.6,0.17,1,,-20.8,
1.5,,,86.72,,,,,0,0.6,84.34,232,,-22.6,
2,,,85.36,,,,,0,0.6,85.41,232,,-22.5,
2.5,,,87.864,,,,,0,0.6,88.818,232,,-22.42,
3,,,90.368,,,,,0,0.6,92.226,232,,-22.34,
3.5,,,92.872,,,,,0,0.6,95.634,232,,-22.26,
4,,,95.376,,,,,0,0.6,99.042,232,,-22.18,
4.5,,,97.88,,,,,0,0.6,102.45,232,,-22.1,
5,,,97.88,,,,,0,0.6,102.45,232,,-22.1,
5.5,,,82.21,,,,,17.13333333,0.2,82.16,232,,-21.2,
6,,,85.36,,,,,0.52,0.2,84.57,233,,-22.1,
6.5,,,92.14,,,,,1.203333333,0.2,90.01,233,,-22.5,
7,,,92.14,,,,,1.203333333,0.2,90.01,233,,-22.5,
7.5,,,92.14,,,,,1.203333333,0.2,91.74,233,,-22.8,
8,,,92.06254902,,,,,1.203333333,0.2,91.65627451,232.9803922,,-22.7745098,
8.5,,,91.98509804,,,,,1.203333333,0.2,91.57254902,232.9607843,,-22.74901961,
9,,,91.90764706,,,,,1.203333333,0.2,91.48882353,232.9411765,,-22.72352941,
9.5,,,91.83019608,,,,,1.203333333,0.2,91.40509804,232.9215686,,-22.69803922,
10,,,91.7527451,,,,,1.203333333,0.2,91.32137255,232.9019608,,-22.67254902,
10.5,,,91.67529412,,,,,1.203333333,0.2,91.23764706,232.8823529,,-22.64705882,
11,,,91.59784314,,,,,1.203333333,0.2,91.15392157,232.8627451,,-22.62156863,
11.5,,,91.52039216,,,,,1.203333333,0.2,91.07019608,232.8431373,,-22.59607843,
12,,,91.44294118,,,,,1.203333333,0.2,90.98647059,232.8235294,,-22.57058824,
12.5,,,91.3654902,,,,,1.203333333,0.2,90.9027451,232.8039216,,-22.54509804,
13,,,91.28803922,,,,,1.203333333,0.2,90.81901961,232.7843137,,-22.51960784,
13.5,,,91.21058824,,,,,1.203333333,0.2,90.73529412,232.7647059,,-22.49411765,
14,,,91.13313725,,,,,1.203333333,0.2,90.65156863,232.745098,,-22.46862745,
14.5,,,91.05568627,,,,,1.203333333,0.2,90.56784314,232.7254902,,-22.44313725,
15,,,90.97823529,,,,,1.203333333,0.2,90.48411765,232.7058824,,-22.41764706,
15.5,,,90.90078431,,,,,1.203333333,0.2,90.40039216,232.6862745,,-22.39215686,
16,,,90.82333333,,,,,1.203333333,0.2,90.31666667,232.6666667,,-22.36666667,
16.5,,,90.74588235,,,,,1.203333333,0.2,90.23294118,232.6470588,,-22.34117647,
17,,,90.66843137,,,,,1.203333333,0.2,90.14921569,232.627451,,-22.31568627,
17.5,,,90.59098039,,,,,1.203333333,0.2,90.0654902,232.6078431,,-22.29019608,
18,,,90.51352941,,,,,1.203333333,0.2,89.98176471,232.5882353,,-22.26470588,
18.5,,,90.43607843,,,,,1.203333333,0.2,89.89803922,232.5686275,,-22.23921569,
19,,,90.35862745,,,,,1.203333333,0.2,89.81431373,232.5490196,,-22.21372549,
19.5,,,90.28117647,,,,,1.203333333,0.2,89.73058824,232.5294118,,-22.18823529,
20,,,90.20372549,,,,,1.203333333,0.2,89.64686275,232.5098039,,-22.1627451,
20.5,,,90.12627451,,,,,1.203333333,0.2,89.56313725,232.4901961,,-22.1372549,
21,,,90.04882353,,,,,1.203333333,0.2,89.47941176,232.4705882,,-22.11176471,
21.5,,,89.97137255,,,,,1.203333333,0.2,89.39568627,232.4509804,,-22.08627451,
22,,,89.89392157,,,,,1.203333333,0.2,89.31196078,232.4313725,,-22.06078431,
22.5,,,89.81647059,,,,,1.203333333,0.2,89.22823529,232.4117647,,-22.03529412,
23,,,89.73901961,,,,,1.203333333,0.2,89.1445098,232.3921569,,-22.00980392,
23.5,,,89.66156863,,,,,1.203333333,0.2,89.06078431,232.372549,,-21.98431373,
24,,,89.58411765,,,,,1.203333333,0.2,88.97705882,232.3529412,,-21.95882353,
24.5,,,89.50666667,,,,,1.203333333,0.2,88.89333333,232.3333333,,-21.93333333,
25,,,89.42921569,,,,,1.203333333,0.2,88.80960784,232.3137255,,-21.90784314,
25.5,,,89.35176471,,,,,1.203333333,0.2,88.72588235,232.2941176,,-21.88235294,
26,,,89.27431373,,,,,1.203333333,0.2,88.64215686,232.2745098,,-21.85686275,
26.5,,,89.19686275,,,,,1.203333333,0.2,88.55843137,232.254902,,-21.83137255,
27,,,89.11941176,,,,,1.203333333,0.2,88.47470588,232.2352941,,-21.80588235,
27.5,,,89.04196078,,,,,1.203333333,0.2,88.39098039,232.2156863,,-21.78039216,
28,,,88.9645098,,,,,1.203333333,0.2,88.3072549,232.1960784,,-21.75490196,
28.5,,,88.88705882,,,,,1.203333333,0.2,88.22352941,232.1764706,,-21.72941176,
29,,,88.80960784,,,,,1.203333333,0.2,88.13980392,232.1568627,,-21.70392157,
29.5,,,88.73215686,,,,,1.203333333,0.2,88.05607843,232.1372549,,-21.67843137,
