DEPTH(ft),AZM(deg),BIT(in),DIFP(psi),EW(ft),Gamma(gapi),INC(deg),NS(ft),ROP(ft / min),RPM(rpm),SPP(psi),TPO(gal / min),TVD(ft),WOB(klbs),MSE1(ksi)
0,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,
1,,,191.76,,,,,,0,193.5,407,,131.9,
1.5,,,191.7862805,,,,,,0,193.5146341,407,,131.9012195,
2,,,191.812561,,,,,,0,193.5292683,407,,131.902439,
2.5,,,191.8388415,,,,,,0,193.5439024,407,,131.9036585,
3,,,191.865122,,,,,,0,193.5585366,407,,131.904878,
3.5,,,191.8914024,,,,,,0,193.5731707,407,,131.9060976,
4,,,191.9176829,,,,,,0,193.5878049,407,,131.9073171,
4.5,,,191.9439634,,,,,,0,193.602439,407,,131.9085366,
5,,,191.9702439,,,,,,0,193.6170732,407,,131.9097561,
5.5,,,191.9965244,,,,,,0,193.6317073,407,,131.9109756,
6,,,192.0228049,,,,,,0,193.6463415,407,,131.9121951,
6.5,,,192.0490854,,,,,,0,193.6609756,407,,131.9134146,
7,,,192.0753659,,,,,,0,193.6756098,407,,131.9146341,
7.5,,,192.1016463,,,,,,0,193.6902439,407,,131.9158537,
8,,,192.1279268,,,,,,0,193.704878,407,,131.9170732,
8.5,,,192.1542073,,,,,,0,193.7195122,407,,131.9182927,
9,,,192.1804878,,,,,,0,193.7341463,407,,131.9195122,
9.5,,,192.2067683,,,,,,0,193.7487805,407,,131.9207317,
10,,,192.2330488,,,,,,0,193.7634146,407,,131.9219512,
10.5,,,192.2593293,,,,,,0,193.7780488,407,,131.9231707,
11,,,192.2856098,,,,,,0,193.7926829,407,,131.9243902,
11.5,,,192.3118902,,,,,,0,193.8073171,407,,131.9256098,
12,,,192.3381707,,,,,,0,193.8219512,407,,131.9268293,
12.5,,,192.3644512,,,,,,0,193.8365854,407,,131.9280488,
13,,,192.3907317,,,,,,0,193.8512195,407,,131.9292683,
13.5,,,192.4170122,,,,,,0,193.8658537,407,,131.9304878,
14,,,192.4432927,,,,,,0,193.8804878,407,,131.9317073,
14.5,,,192.4695732,,,,,,0,193.895122,407,,131.9329268,
15,,,192.4958537,,,,,,0,193.9097561,407,,131.9341463,
15.5,,,192.5221341,,,,,,0,193.9243902,407,,131.9353659,
16,,,192.5484146,,,,,,0,193.9390244,407,,131.9365854,
16.5,,,192.5746951,,,,,,0,193.9536585,407,,131.9378049,
17,,,192.6009756,,,,,,0,193.9682927,407,,131.9390244,
17.5,,,192.6272561,,,,,,0,193.9829268,407,,131.9402439,
18,,,192.6535366,,,,,,0,193.997561,407,,131.9414634,
18.5,,,192.6798171,,,,,,0,194.0121951,407,,131.9426829,
19,,,192.7060976,,,,,,0,194.0268293,407,,131.9439024,
19.5,,,192.732378,,,,,,0,194.0414634,407,,131.945122,
20,,,192.7586585,,,,,,0,194.0560976,407,,131.9463415,
20.5,,,192.784939,,,,,,0,194.0707317,407,,131.947561,
21,,,192.8112195,,,,,,0,194.0853659,407,,131.9487805,
21.5,,,192.8375,,,,,,0,194.1,407,,131.95,
22,,,192.8637805,,,,,,0,194.1146341,407,,131.9512195,
22.5,,,192.890061,,,,,,0,194.1292683,407,,131.952439,
23,,,192.9163415,,,,,,0,194.1439024,407,,131.9536585,
23.5,,,192.942622,,,,,,0,194.1585366,407,,131.954878,
24,,,192.9689024,,,,,,0,194.1731707,407,,131.9560976,
24.5,,,192.9951829,,,,,,0,194.1878049,407,,131.9573171,
25,,,193.0214634,,,,,,0,194.202439,407,,131.9585366,
25.5,,,193.0477439,,,,,,0,194.2170732,407,,131.9597561,
26,,,193.0740244,,,,,,0,194.2317073,407,,131.9609756,
26.5,,,193.1003049,,,,,,0,194.2463415,407,,131.9621951,
27,,,193.1265854,,,,,,0,194.2609756,407,,131.9634146,
27.5,,,193.1528659,,,,,,0,194.2756098,407,,131.9646341,
28,,,193.1791463,,,,,,0,194.2902439,407,,131.9658537,
28.5,,,193.2054268,,,,,,0,194.304878,407,,131.9670732,
29,,,193.2317073,,,,,,0,194.3195122,407,,131.9682927,
29.5,,,193.2579878,,,,,,0,194.3341463,407,,131.9695122,
30,,,193.2842683,,,,,,0,194.3487805,407,,131.9707317,
30.5,,,193.3105488,,,,,,0,194.3634146,407,,131.9719512,
31,,,193.3368293,,,,,,0,194.3780488,407,,131.9731707,
31.5,,,193.3631098,,,,,,0,194.3926829,407,,131.9743902,
32,,,193.3893902,,,,,,0,194.4073171,407,,131.9756098,
32.5,,,193.4156707,,,,,,0,194.4219512,407,,131.9768293,
33,,,193.4419512,,,,,,0,194.4365854,407,,131.9780488,
33.5,,,193.4682317,,,,,,0,194.4512195,407,,131.9792683,
34,,,193.4945122,,,,,,0,194.4658537,407,,131.9804878,
34.5,,,193.5207927,,,,,,0,194.4804878,407,,131.9817073,
35,,,193.5470732,,,,,,0,194.495122,407,,131.9829268,
35.5,,,193.5733537,,,,,,0,194.5097561,407,,131.9841463,
36,,,193.5996341,,,,,,0,194.5243902,407,,131.9853659,
36.5,,,193.6259146,,,,,,0,194.5390244,407,,131.9865854,
37,,,193.6521951,,,,,,0,194.5536585,407,,131.9878049,
37.5,,,193.6784756,,,,,,0,194.5682927,407,,131.9890244,
38,,,193.7047561,,,,,,0,194.5829268,407,,131.9902439,
