DEPTH(ft),AZM(deg),BIT(in),DIFP(psi),EW(ft),Gamma(gapi),INC(deg),NS(ft),ROP(ft / min),RPM(rpm),SPP(psi),TOR(ft_lb),TPO(gal / min),TVD(ft),WOB(klbs),MSE1(ksi),MSE2(ksi),MSE(ksi)
0,0,,,0,,0,0,,,,,,0,,,,
0.5,1.016341463,,,-0.005554246,,0.004773519,0.00220918,,,,,,0.499952357,,,,
1,2.032682927,,,-0.011108492,,0.009547038,0.00441836,,,,,,0.999904713,,,,
1.5,3.04902439,,,-0.016662737,,0.014320557,0.00662754,,,,,,1.49985707,,,,
2,4.065365854,,,-0.022216983,,0.019094077,0.00883672,,,,,,1.999809427,,,,
2.5,5.081707317,,,-0.027771229,,0.023867596,0.0110459,,,,,,2.499761783,,,,
3,6.09804878,,,-0.033325475,,0.028641115,0.01325508,,,,,,2.99971414,,,,
3.5,7.114390244,,,-0.03887972,,0.033414634,0.01546426,,,,,,3.499666497,,,,
4,8.130731707,,,-0.044433966,,0.038188153,0.01767344,,,,,,3.999618853,,,,
4.5,9.147073171,,,-0.049988212,,0.042961672,0.01988262,,,,,,4.49957121,,,,
5,10.16341463,,,-0.055542458,,0.047735192,0.0220918,,,,,,4.999523567,,,,
5.5,11.1797561,,,-0.061096703,,0.052508711,0.02430098,,,,,,5.499475923,,,,
6,12.19609756,,,-0.066650949,,0.05728223,0.02651016,,,,,,5.99942828,,,,
6.5,13.21243902,,,-0.072205195,,0.062055749,0.02871934,,,,,,6.499380637,,,,
7,14.22878049,,,-0.077759441,,0.066829268,0.03092852,,,,,,6.999332993,,,,
7.5,15.24512195,,,-0.083313687,,0.071602787,0.0331377,,,,,,7.49928535,,,,
8,16.26146341,,,-0.088867932,,0.076376307,0.03534688,,,,,,7.999237707,,,,
8.5,17.27780488,,,-0.094422178,,0.081149826,0.03755606,,,,,,8.499190063,,,,
9,18.29414634,,,-0.099976424,,0.085923345,0.03976524,,,,,,8.99914242,,,,
9.5,19.3104878,,,-0.10553067,,0.090696864,0.04197442,,,,,,9.499094777,,,,
10,20.32682927,,,-0.111084915,,0.095470383,0.0441836,,,,,,9.999047133,,,,
10.5,21.34317073,,,-0.116639161,,0.100243902,0.04639278,,,,,,10.49899949,,,,
11,22.3595122,,,-0.122193407,,0.105017422,0.04860196,,,,,,10.99895185,,,,
11.5,23.37585366,,,-0.127747653,,0.109790941,0.05081114,,,,,,11.4989042,,,,
12,24.39219512,,,-0.133301898,,0.11456446,0.05302032,,,,,,11.99885656,,,,
12.5,25.40853659,,,-0.138856144,,0.119337979,0.0552295,,,,,,12.49880892,,,,
13,26.42487805,,,-0.14441039,,0.124111498,0.05743868,,,,,,12.99876127,,,,
