,0
0,variance_larger_than_standard_deviation
1,has_duplicate_max
2,has_duplicate_min
3,has_duplicate
4,sum_values
5,abs_energy
6,mean_abs_change
7,mean_change
8,mean_second_derivative_central
9,median
10,mean
11,length
12,standard_deviation
13,variation_coefficient
14,variance
15,skewness
16,kurtosis
17,root_mean_square
18,absolute_sum_of_changes
19,longest_strike_below_mean
20,longest_strike_above_mean
21,count_above_mean
22,count_below_mean
23,last_location_of_maximum
24,first_location_of_maximum
25,last_location_of_minimum
26,first_location_of_minimum
27,percentage_of_reoccurring_values_to_all_values
28,percentage_of_reoccurring_datapoints_to_all_datapoints
29,sum_of_reoccurring_values
30,sum_of_reoccurring_data_points
31,ratio_value_number_to_time_series_length
32,sample_entropy
33,maximum
34,absolute_maximum
35,minimum
36,benford_correlation
37,time_reversal_asymmetry_statistic__lag_1
38,time_reversal_asymmetry_statistic__lag_2
39,time_reversal_asymmetry_statistic__lag_3
40,c3__lag_1
41,c3__lag_2
42,c3__lag_3
43,cid_ce__normalize_True
44,cid_ce__normalize_False
45,symmetry_looking__r_0.0
46,symmetry_looking__r_0.05
47,symmetry_looking__r_0.1
48,symmetry_looking__r_0.15000000000000002
49,symmetry_looking__r_0.2
50,symmetry_looking__r_0.25
51,symmetry_looking__r_0.30000000000000004
52,symmetry_looking__r_0.35000000000000003
53,symmetry_looking__r_0.4
54,symmetry_looking__r_0.45
55,symmetry_looking__r_0.5
56,symmetry_looking__r_0.55
57,symmetry_looking__r_0.6000000000000001
58,symmetry_looking__r_0.65
59,symmetry_looking__r_0.7000000000000001
60,symmetry_looking__r_0.75
61,symmetry_looking__r_0.8
62,symmetry_looking__r_0.8500000000000001
63,symmetry_looking__r_0.9
64,symmetry_looking__r_0.9500000000000001
65,large_standard_deviation__r_0.05
66,large_standard_deviation__r_0.1
67,large_standard_deviation__r_0.15000000000000002
68,large_standard_deviation__r_0.2
69,large_standard_deviation__r_0.25
70,large_standard_deviation__r_0.30000000000000004
71,large_standard_deviation__r_0.35000000000000003
72,large_standard_deviation__r_0.4
73,large_standard_deviation__r_0.45
74,large_standard_deviation__r_0.5
75,large_standard_deviation__r_0.55
76,large_standard_deviation__r_0.6000000000000001
77,large_standard_deviation__r_0.65
78,large_standard_deviation__r_0.7000000000000001
79,large_standard_deviation__r_0.75
80,large_standard_deviation__r_0.8
81,large_standard_deviation__r_0.8500000000000001
82,large_standard_deviation__r_0.9
83,large_standard_deviation__r_0.9500000000000001
84,quantile__q_0.1
85,quantile__q_0.2
86,quantile__q_0.3
87,quantile__q_0.4
88,quantile__q_0.6
89,quantile__q_0.7
90,quantile__q_0.8
91,quantile__q_0.9
92,autocorrelation__lag_0
93,autocorrelation__lag_1
94,autocorrelation__lag_2
95,autocorrelation__lag_3
96,autocorrelation__lag_4
97,autocorrelation__lag_5
98,autocorrelation__lag_6
99,autocorrelation__lag_7
100,autocorrelation__lag_8
101,autocorrelation__lag_9
102,"agg_autocorrelation__f_agg_""mean""__maxlag_40"
103,"agg_autocorrelation__f_agg_""median""__maxlag_40"
104,"agg_autocorrelation__f_agg_""var""__maxlag_40"
105,partial_autocorrelation__lag_0
106,partial_autocorrelation__lag_1
107,partial_autocorrelation__lag_2
108,partial_autocorrelation__lag_3
109,partial_autocorrelation__lag_4
110,partial_autocorrelation__lag_5
111,partial_autocorrelation__lag_6
112,partial_autocorrelation__lag_7
113,partial_autocorrelation__lag_8
114,partial_autocorrelation__lag_9
115,number_cwt_peaks__n_1
116,number_cwt_peaks__n_5
117,number_peaks__n_1
118,number_peaks__n_3
119,number_peaks__n_5
120,number_peaks__n_10
121,number_peaks__n_50
122,binned_entropy__max_bins_10
123,index_mass_quantile__q_0.1
124,index_mass_quantile__q_0.2
125,index_mass_quantile__q_0.3
126,index_mass_quantile__q_0.4
127,index_mass_quantile__q_0.6
128,index_mass_quantile__q_0.7
129,index_mass_quantile__q_0.8
130,index_mass_quantile__q_0.9
131,"cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)"
132,"cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)"
133,"cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)"
134,"cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)"
135,"cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)"
136,"cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)"
137,"cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)"
138,"cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)"
139,"cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)"
140,"cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)"
141,"cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)"
142,"cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)"
143,"cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)"
144,"cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)"
145,"cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)"
146,"cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)"
147,"cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)"
148,"cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)"
149,"cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)"
150,"cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)"
151,"cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)"
152,"cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)"
153,"cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)"
154,"cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)"
155,"cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)"
156,"cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)"
157,"cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)"
158,"cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)"
159,"cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)"
160,"cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)"
161,"cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)"
162,"cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)"
163,"cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)"
164,"cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)"
165,"cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)"
166,"cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)"
167,"cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)"
168,"cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)"
169,"cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)"
170,"cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)"
171,"cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)"
172,"cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)"
173,"cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)"
174,"cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)"
