,feature,rmse
0,Gamma(gapi)__variance_larger_than_standard_deviation,117.5364395034618
1,Gamma(gapi)__has_duplicate_max,118.49289981343888
2,Gamma(gapi)__has_duplicate_min,118.48693582453988
3,Gamma(gapi)__has_duplicate,118.48693582453988
4,Gamma(gapi)__sum_values,6926.598520799424
5,Gamma(gapi)__abs_energy,918788.0506414059
6,Gamma(gapi)__mean_abs_change,116.38230247460388
7,Gamma(gapi)__mean_change,118.50203328686372
8,Gamma(gapi)__mean_second_derivative_central,118.49392780966816
9,Gamma(gapi)__median,19.515622690323276
10,Gamma(gapi)__mean,19.920015222747907
11,Gamma(gapi)__length,62.19582010801003
12,Gamma(gapi)__standard_deviation,107.35953075653664
13,Gamma(gapi)__variation_coefficient,118.40055722101857
14,Gamma(gapi)__skewness,118.52560834617996
15,Gamma(gapi)__kurtosis,118.90769352697374
16,Gamma(gapi)__root_mean_square,19.63860170831557
17,Gamma(gapi)__absolute_sum_of_changes,35.70867144401392
18,Gamma(gapi)__longest_strike_below_mean,99.34868727526084
19,Gamma(gapi)__longest_strike_above_mean,99.38203414645726
20,Gamma(gapi)__count_above_mean,89.87627835029232
21,Gamma(gapi)__count_below_mean,89.68873830562312
22,Gamma(gapi)__last_location_of_maximum,118.01926781702493
23,Gamma(gapi)__first_location_of_maximum,118.03664242737976
24,Gamma(gapi)__last_location_of_minimum,118.02317043787504
25,Gamma(gapi)__first_location_of_minimum,118.04109528139207
26,Gamma(gapi)__percentage_of_reoccurring_values_to_all_values,118.48681811135313
27,Gamma(gapi)__percentage_of_reoccurring_datapoints_to_all_datapoints,118.48712659433215
28,Gamma(gapi)__sum_of_reoccurring_values,118.04401686530258
29,Gamma(gapi)__sum_of_reoccurring_data_points,611.5082681760987
30,Gamma(gapi)__ratio_value_number_to_time_series_length,117.5420559940481
31,Gamma(gapi)__sample_entropy,117.58481633011127
32,Gamma(gapi)__maximum,28.064733098049253
33,Gamma(gapi)__absolute_maximum,28.064733098049253
34,Gamma(gapi)__minimum,31.85792707277722
35,Gamma(gapi)__benford_correlation,117.86374526384171
36,Gamma(gapi)__time_reversal_asymmetry_statistic__lag_1,28119.840756392205
37,Gamma(gapi)__time_reversal_asymmetry_statistic__lag_2,55421.39330803539
38,Gamma(gapi)__time_reversal_asymmetry_statistic__lag_3,83053.11450783326
39,Gamma(gapi)__c3__lag_1,2193129.5405243016
40,Gamma(gapi)__c3__lag_2,2194133.8617573483
41,Gamma(gapi)__c3__lag_3,2194602.33623228
42,Gamma(gapi)__cid_ce__normalize_True,115.8809107350237
43,Gamma(gapi)__cid_ce__normalize_False,98.3194214900305
44,Gamma(gapi)__symmetry_looking__r_0.0,118.49882441008222
45,Gamma(gapi)__symmetry_looking__r_0.05,117.82778253324224
46,Gamma(gapi)__symmetry_looking__r_0.1,117.64797664104664
