,0
0,Gamma(gapi)__variance
1,Gamma(gapi)__partial_autocorrelation__lag_6
2,Gamma(gapi)__spkt_welch_density__coeff_2
3,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_1"
4,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_2"
5,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_31"
6,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_32"
7,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_33"
8,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_34"
9,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_35"
10,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_36"
11,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_37"
12,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_38"
13,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_39"
14,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_40"
15,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_41"
16,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_42"
17,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_43"
18,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_44"
19,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_45"
20,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_46"
21,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_47"
22,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_48"
23,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_49"
24,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_50"
25,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_51"
26,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_52"
27,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_53"
28,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_54"
29,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_55"
30,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_56"
31,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_57"
32,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_58"
33,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_59"
34,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_60"
35,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_61"
36,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_62"
37,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_63"
38,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_64"
39,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_65"
40,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_66"
41,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_67"
42,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_68"
43,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_69"
44,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_70"
45,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_71"
46,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_72"
47,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_73"
48,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_74"
49,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_75"
50,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_76"
51,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_77"
52,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_78"
53,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_79"
54,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_80"
55,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_81"
56,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_82"
57,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_83"
58,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_84"
59,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_85"
60,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_86"
61,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_87"
62,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_88"
63,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_89"
64,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_90"
65,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_91"
66,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_92"
67,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_93"
68,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_94"
69,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_95"
70,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_96"
71,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_97"
72,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_98"
73,"Gamma(gapi)__fft_coefficient__attr_""real""__coeff_99"
74,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_1"
75,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_31"
76,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_32"
77,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_33"
78,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_34"
79,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_35"
80,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_36"
81,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_37"
82,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_38"
83,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_39"
84,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_40"
85,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_41"
86,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_42"
87,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_43"
88,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_44"
89,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_45"
90,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_46"
91,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_47"
92,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_48"
93,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_49"
94,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_50"
95,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_51"
96,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_52"
97,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_53"
98,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_54"
99,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_55"
100,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_56"
101,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_57"
102,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_58"
103,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_59"
104,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_60"
105,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_61"
106,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_62"
107,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_63"
