,DEPTH(ft),Gamma(gapi),predicted gamma
0,11667.0,102.9185,101.48060189978908
1,11697.0,119.5879,105.69370364931868
2,11727.0,101.5785,113.59606666255341
3,11757.0,106.2714,104.2167459195068
4,11787.0,107.5259,106.41766817169578
5,11817.0,112.3225,106.27953661120326
6,11847.0,109.9874,112.58428861537043
7,11877.0,102.5292,109.21046193769746
8,11907.0,101.5869,104.82784839654381
9,11937.0,84.6055,104.30318216042896
10,11967.0,92.1856,94.77221485219734
11,11997.0,68.8467,83.41645600993486
12,12027.0,88.6536,88.90722971550062
13,12057.0,76.135,86.42823767556118
14,12087.0,98.8136,90.28761818124543
15,12117.0,92.9594,99.89715757960856
16,12147.0,108.3794,97.84925964573567
17,12177.0,99.4331,98.71461776494833
18,12207.0,100.3163,99.54058459112666
19,12237.0,112.1601,103.11081039331829
20,12267.0,118.0282,105.22911794698179
21,12297.0,111.0729,113.04314482117354
22,12327.0,112.0841,113.81026871591558
23,12357.0,117.3309,113.31182019052025
24,12387.0,113.2354,113.1755645446089
25,12417.0,113.4837,116.36020518891512
26,12447.0,111.5143,111.58072088223054
27,12477.0,95.1749,114.34771762172804
28,12507.0,101.8181,105.46045871620362
29,12537.0,101.2962,99.05665706107045
30,12567.0,98.9744,102.04465118788532
31,12597.0,116.1964,106.39144648484603
32,12627.0,121.0672,114.18858060327894
33,12657.0,106.1921,114.52574896104667
34,12687.0,68.5189,100.97970560000739
35,12717.0,103.5947,74.31830828624364
36,12777.0,139.9041,148.46623659061078
37,12807.0,134.0589,104.86003209129207
38,12837.0,140.2203,137.57348125688824
39,12867.0,191.9521,166.46391673265677
40,12897.0,151.103,120.99551341434454
41,12927.0,123.3355,160.6931515693752
42,12957.0,185.3414,161.5242812617413
43,12987.0,121.2389,92.7872464940159
44,13017.0,136.2494,179.02276539716274
45,13047.0,141.1231,110.06744088915725
46,13077.0,118.2283,123.75348923234768
47,13107.0,103.8423,127.74830661928846
48,13137.0,135.6048,121.92203973518168
49,13167.0,150.7176,135.80701302552166
50,13197.0,165.6281,165.55182076734536
51,13227.0,131.4932,139.47922738287912
52,13257.0,149.8183,140.19964292559618
53,13287.0,80.8376,106.56214423497731
54,13317.0,109.6997,122.0762374197156
55,13347.0,63.8872,68.8552870029251
56,13377.0,69.8727,82.5844744424736
57,13407.0,110.1474,111.97765208108054
58,13437.0,92.8415,99.68384959399519
59,13467.0,133.9673,144.64366016684951
60,13497.0,154.3314,122.21794227935986
61,13527.0,99.3282,116.8349423942629
62,13557.0,153.8875,143.9748852247874
63,13587.0,77.4039,74.36478489585218
64,13617.0,85.8774,106.7572928396313
65,13647.0,116.4577,94.4312227987485
66,13677.0,122.9393,120.26271549393581
67,13707.0,127.4646,148.24708085956277
68,13737.0,118.4496,114.0715488006883
69,13767.0,67.6756,81.44504669624249
70,13797.0,107.0008,95.62784471318739
71,13827.0,162.084,128.77837776669176
72,13857.0,129.5811,138.69316102939533
73,13887.0,133.9141,142.1246089785292
74,13917.0,141.488,110.93535961922996
75,13947.0,170.5841,154.12772012207375
76,13977.0,178.0177,164.3119262063107
77,14007.0,129.0027,141.85617996970265
78,14037.0,137.4042,139.01333875787336
79,14067.0,160.6099,141.29508270806537
80,14097.0,105.513,116.09592845657264
81,14127.0,72.8888,106.76492727105804
82,14157.0,124.8627,113.43090960113287
83,14187.0,159.7508,136.57951619665135
84,14217.0,158.941,163.11597413152327
85,14247.0,162.0245,145.56385526918697
86,14277.0,130.172,121.92715427270166
87,14307.0,110.7435,122.19865206173566
88,14337.0,74.8946,90.8254681966981
89,14367.0,93.2635,111.51747578216674
90,14397.0,62.0128,78.8089238838019
91,14427.0,108.8016,120.23988368559517
92,14457.0,129.9161,118.1839537236762
93,14487.0,118.0258,108.06176464529915
94,14517.0,135.8401,110.97289836101857
95,14547.0,85.1007,71.45795015510583
96,14577.0,149.0498,149.78099425485533
97,14607.0,86.9654,98.0397331927502
98,14637.0,155.8456,147.87933550139195
99,14667.0,129.8233,119.89298433170477
100,14697.0,102.879,101.96771964813752
101,14727.0,108.8539,106.43764776999598
102,14757.0,120.5377,104.33649230963171
103,14787.0,74.3695,101.7538852964318
104,14817.0,80.6698,94.12410498490019
105,14847.0,75.6183,74.70391072803181
106,14877.0,75.6183,80.5386729574765
