DEPTH(ft),AZM(deg),BIT(in),DIFP(psi),EW(ft),Gamma(gapi),INC(deg),NS(ft),ROP(ft / min),RPM(rpm),SPP(psi),TPO(gal / min),TVD(ft),WOB(klbs),MSE1(ksi)
0,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,
1,,6.13,0,,,,,,0.4,0,,,0,0
1.5,,17.5,0.07,,,,,,0,0,,,-3.7,0
2,,17.5,0.07,,,,,52.96333333,0,0,,,-4.6,0
2.5,,17.5,0.07,,,,,52.96333333,0,0,,,-4.6,0
3,,17.5,0.07,,,,,52.98,0,0,,,-4.3,0
3.5,,17.5,0.07,,,,,58.405,0,0,,,-4.3,0
4,,17.5,1.3,,,,,58.35833333,0,1.73,,,-4,0
4.5,,17.5,0,,,,,43.12333333,0,0,,,-3.2,0
5,,17.5,0,,,,,23.91833333,0,0,,,-2.8,0
5.5,,17.5,0,,,,,1.068333333,0,0,,,-2.1,0
6,,17.5,0,,,,,24.13833333,0,0,,,-2.3,0
6.5,,17.5,26.35,,,,,26.73666667,0,26.52,,,-2.6,0
7,,17.5,29.89,,,,,42.305,0,31.96,,,-2.7,0
7.5,,17.5,29.89,,,,,52.20333333,0,31.96,,,-2.7,0
8,,17.5,28.29,,,,,52.20333333,0,28.41,,,-2.4,0
8.5,,17.5,28.29,,,,,51.92333333,0,28.41,,,-2.4,0
9,,17.5,28.29,,,,,51.92833333,0,27.13,,,-2.4,0
9.5,,17.5,28.29,,,,,53.32666667,0,27.13,,,-2.4,0
10,,17.5,28.29,,,,,53.345,0,26.3,,,-3,0
10.5,,17.5,28.29,,,,,57.51833333,0,26.3,,,-3,0
11,,17.5,23.64,,,,,57.51833333,0,21.87,,,-2.9,0
11.5,,17.5,23.64,,,,,57.51833333,0,21.87,,,-2.9,0
12,,17.5,17.49,,,,,57.51833333,0,16.82,,,-2.2,0
12.5,,17.5,18.25545455,,,,,57.51833333,0,17.54181818,,,-2.245454545,0
13,,17.5,19.02090909,,,,,57.51833333,0,18.26363636,,,-2.290909091,0
13.5,,17.5,19.78636364,,,,,57.51833333,0,18.98545455,,,-2.336363636,0
14,,17.5,20.55181818,,,,,57.51833333,0,19.70727273,,,-2.381818182,0
14.5,,17.5,21.31727273,,,,,57.51833333,0,20.42909091,,,-2.427272727,0
15,,17.5,22.08272727,,,,,57.51833333,0,21.15090909,,,-2.472727273,0
15.5,,17.5,22.84818182,,,,,57.51833333,0,21.87272727,,,-2.518181818,0
16,,17.5,23.61363636,,,,,57.51833333,0,22.59454545,,,-2.563636364,0
16.5,,17.5,24.37909091,,,,,57.51833333,0,23.31636364,,,-2.609090909,0
17,,17.5,25.14454545,,,,,57.51833333,0,24.03818182,,,-2.654545455,0
17.5,,17.5,25.91,,,,,57.51833333,0,24.76,,,-2.7,0
18,,17.5,25.91,,,,,57.51833333,0,24.76,,,-2.7,0
18.5,,17.5,30.04,,,,,57.51833333,0,26.76,,,-2.8,0
19,,17.5,30.04,,,,,57.51833333,0,26.76,,,-2.8,0
19.5,,17.5,23.24,,,,,57.51833333,0,21.67,,,-3.1,0
20,,17.5,23.24,,,,,57.51833333,0,21.67,,,-3.1,0
20.5,,17.5,27.27,,,,,57.51833333,0,28.84,,,-3.1,0
21,,17.5,27.235,,,,,57.51833333,0,28.748125,,,-3.05625,0
21.5,,17.5,27.2,,,,,57.51833333,0,28.65625,,,-3.0125,0
22,,17.5,27.165,,,,,57.51833333,0,28.564375,,,-2.96875,0
22.5,,17.5,27.13,,,,,57.51833333,0,28.4725,,,-2.925,0
23,,17.5,27.095,,,,,57.51833333,0,28.380625,,,-2.88125,0
23.5,,17.5,27.06,,,,,57.51833333,0,28.28875,,,-2.8375,0
24,,17.5,27.025,,,,,57.51833333,0,28.196875,,,-2.79375,0
24.5,,17.5,26.99,,,,,57.51833333,0,28.105,,,-2.75,0
25,,17.5,26.955,,,,,57.51833333,0,28.013125,,,-2.70625,0
25.5,,17.5,26.92,,,,,57.51833333,0,27.92125,,,-2.6625,0
26,,17.5,26.885,,,,,57.51833333,0,27.829375,,,-2.61875,0
26.5,,17.5,26.85,,,,,57.51833333,0,27.7375,,,-2.575,0
27,,17.5,26.815,,,,,57.51833333,0,27.645625,,,-2.53125,0
27.5,,17.5,26.78,,,,,57.51833333,0,27.55375,,,-2.4875,0
28,,17.5,26.745,,,,,57.51833333,0,27.461875,,,-2.44375,0
28.5,,17.5,26.71,,,,,57.51833333,0,27.37,,,-2.4,0
29,,17.5,27.28,,,,,57.52166667,0,29.55,,,-2.5,0
29.5,,17.5,27.28,,,,,58.435,0,29.55,,,-2.5,0
30,,17.5,21.42,,,,,58.42,0,19.75,,,-2.4,0
30.5,,17.5,21.42,,,,,53.31166667,0,19.75,,,-2.4,0
31,,17.5,29.32,,,,,53.305,0,28.5,,,-2.4,0
31.5,,17.5,29.32,,,,,51.345,0,28.5,,,-2.4,0
32,,17.5,30.29,,,,,51.33833333,0,31.61,,,-2.7,0
32.5,,17.5,19.86,,,,,49.07,0,19.91,,,-2.8,0
33,,17.5,19.86,,,,,45.545,0,19.91,,,-2.8,0
33.5,,17.5,29.73,,,,,45.535,0,30.43,,,-2.6,0
34,,17.5,23.64,,,,,42.37166667,0,22.72,,,-2.8,0
