DEPTH(ft),AZM(deg),BIT(in),DIFP(psi),EW(ft),Gamma(gapi),INC(deg),NS(ft),ROP(ft / min),RPM(rpm),SPP(psi),TPO(gal / min),TVD(ft),WOB(klbs),MSE1(ksi)
0,,,,,,,,0.000166667,,,,,,
0.5,,,,,,,,0.000166667,,,,,,
1,,,0,,,,,0.000166667,0,0,,1,2.5,
1.5,,,0,,,,,0.000166667,0,0,,1,1.2,
2,,,0,,,,,0.000166667,0,0,,1.22,1.15,
2.5,,,0,,,,,0.000166667,0,0,,1.44,1.1,
3,,,0,,,,,0.000166667,0,0,,1.66,1.05,
3.5,,,0,,,,,0.000166667,0,0,,1.88,1,
4,,,0,,,,,0.000166667,0,0,,3.75,0.8,
4.5,,,0,,,,,0.000166667,0,0,,4.22,0.7,
5,,,0,,,,,0.000166667,0,0,,4.22,0.7,
5.5,,,0,,,,,0.000166667,0,0,,4.22,0.3,
6,,,0,,,,,0.000166667,0,0,,4.22,0.3,
6.5,,,0,,,,,0.000166667,0,0,,4.22,0.3,
7,,,0,,,,,0.000166667,0,0,,4.22,0.3,
7.5,,,0,,,,,0.000166667,0,0,,4.22,0.3,
8,,,0,,,,,0.000166667,0,0,,4.22,0.3,
8.5,,,0,,,,,0.000166667,0,0,,4.22,0.3,
9,,,0,,,,,0.000166667,0,0,,5.97,0.3,
9.5,,,0,,,,,0.000166667,0,0,,5.97,0.3,
10,,,0,,,,,0.000166667,0,0,,5.97,0.3,
10.5,,,0,,,,,0.000166667,0,0,,5.97,0.3,
11,,,0,,,,,0.000166667,0,0,,5.97,0.3,
11.5,,,0,,,,,0.000166667,0,0,,5.97,0.3,
12,,,0,,,,,0.000166667,0,0,,9.03,0.5,
12.5,,,0,,,,,0.000166667,0,0,,9.03,0.5,
13,,,0,,,,,0.000166667,0,0,,9.03,0.5,
13.5,,,0,,,,,0.000166667,0,0,,9.03,0.5,
14,,,0,,,,,0.000166667,0,0,,9.03,0.5,
14.5,,,0,,,,,0.000166667,0,0,,9.03,0.5,
15,,,0,,,,,0.000166667,0,0,,9.03,0.5,
15.5,,,0,,,,,0.000166667,0,0,,12.25,0,
16,,,0,,,,,0.000166667,0,0,,12.25,0,
16.5,,,0,,,,,0.000166667,0,0,,12.25,0,
17,,,0,,,,,0.000166667,0,0,,12.25,0,
17.5,,,0,,,,,0.000166667,0,0,,12.25,0,
18,,,0,,,,,0.000166667,0,0,,12.25,0,
18.5,,,0,,,,,0.000166667,0,0,,12.25,0,
19,,,0,,,,,0.000166667,0,0,,15.57,-0.1,
19.5,,,0,,,,,0.000166667,0,0,,15.57,-0.1,
20,,,0,,,,,0.000166667,0,0,,15.57,-0.1,
20.5,,,0,,,,,0.000166667,0,0,,15.57,-0.1,
21,,,0,,,,,0.000166667,0,0,,15.57,-0.1,
21.5,,,0,,,,,0.000166667,0,0,,15.57,-0.1,
22,,,0,,,,,0.000166667,0,0,,15.57,-0.1,
22.5,,,0,,,,,0.000166667,0,0,,19.08,-0.2,
23,,,0,,,,,0.000166667,0,0,,20.63,-0.333333333,
23.5,,,0,,,,,0.000166667,0,0,,22.18,-0.466666667,
24,,,0,,,,,0.000166667,0,0,,23.73,-0.6,
24.5,,,0,,,,,0.000166667,0,0,,24.24,-0.6,
25,,,0,,,,,0.000166667,0,0,,24.24,-0.6,
25.5,,,0,,,,,0.000166667,0,0,,24.24,-0.6,
26,,,0,,,,,0.000166667,0,0,,24.24,-0.6,
26.5,,,0,,,,,0.000166667,0,0,,24.24,-0.9,
27,,,0,,,,,0.000166667,0,0,,24.694,-0.885,
27.5,,,0,,,,,0.000166667,0,0,,25.148,-0.87,
28,,,0,,,,,0.000166667,0,0,,25.602,-0.855,
28.5,,,0,,,,,0.000166667,0,0,,26.056,-0.84,
29,,,0,,,,,0.000166667,0,0,,26.51,-0.825,
29.5,,,0,,,,,0.000166667,0,0,,26.964,-0.81,
30,,,0,,,,,0.000166667,0,0,,27.418,-0.795,
30.5,,,0,,,,,0.000166667,0,0,,27.872,-0.78,
31,,,0,,,,,0.000166667,0,0,,28.326,-0.765,
31.5,,,0,,,,,0.000166667,0,0,,28.78,-0.75,
32,,,0,,,,,0.000166667,0,0,,29.234,-0.735,
32.5,,,0,,,,,0.000166667,0,0,,29.688,-0.72,
33,,,0,,,,,0.000166667,0,0,,30.142,-0.705,
33.5,,,0,,,,,0.000166667,0,0,,30.596,-0.69,
34,,,0,,,,,0.000166667,0,0,,31.05,-0.675,
34.5,,,0,,,,,0.000166667,0,0,,31.504,-0.66,
35,,,0,,,,,0.000166667,0,0,,31.958,-0.645,
35.5,,,0,,,,,0.000166667,0,0,,32.412,-0.63,
36,,,0,,,,,0.000166667,0,0,,32.866,-0.615,
36.5,,,0,,,,,0.000166667,0,0,,33.32,-0.6,
37,,,0,,,,,0.000166667,0,0,,33.32,-0.6,
37.5,,,0,,,,,0.000166667,0,0,,33.32,-0.6,
38,,,0,,,,,0.000166667,0,0,,33.32,-0.6,
38.5,,,0,,,,,0.000166667,0,0,,33.32,-0.6,
39,,,0,,,,,0.000166667,0,0,,33.32,-0.6,
39.5,,,0,,,,,0.000166667,0,0,,36.64,0.2,
40,,,0,,,,,0.000166667,0,0,,36.64,0.2,
40.5,,,0,,,,,0.000166667,0,0,,36.64,0.2,
41,,,0,,,,,0.000166667,0,0,,36.64,0.2,
41.5,,,0,,,,,0.000166667,0,0,,36.64,0.2,
42,,,0,,,,,0.000166667,0,0,,36.64,0.2,
42.5,,,0,,,,,0.000166667,0,0,,39.94,0.9,
43,,,0,,,,,0.000166667,0,0,,41.175,0.875,
43.5,,,0,,,,,0.000166667,0,0,,42.41,0.85,
44,,,0,,,,,0.000166667,0,0,,43.645,0.825,
44.5,,,0,,,,,0.000166667,0,0,,44.88,0.8,
45,,,0,,,,,0.072666667,0.1,0,,45.21,-14.5,
45.5,,,0,,,,,0.127333333,0.1,0,,45.46,-15.8,
46,,,0,,,,,18.29466667,0.1,0,,45.62,-16.4,
46.5,,,0,,,,,18.29466667,0.1,0,,46.3125,-16.15,
